environ_var_code,woreda_name,WID,week_epidemiar,ref_value,ref_sd,ref_n,ref_max,ref_uq,ref_median,ref_lq,ref_min,old_environ_var_code
savi,Abargelie,121,13,0.131430230572493,0.00439458360832486,14,0.138664265484069,0.135790242485869,0.131599027012137,0.127389945801521,0.125593422457684,savi
evi,Abargelie,121,13,0.115398398560039,0.00408132656911997,14,0.122105519765474,0.119639728881381,0.115399662655418,0.111726029722777,0.11004051344049,evi
ndwi5,Abargelie,121,13,-0.0904705165825723,0.00447564005648089,14,-0.0854086015401839,-0.0864863163932186,-0.0890607563754756,-0.094406957091485,-0.0983664325911097,ndwi5
ndwi6,Abargelie,121,13,-0.0927744701860381,0.00707432141627653,14,-0.0848796634988011,-0.0855579756685312,-0.0920912737737404,-0.0995978705196578,-0.108128354281978,ndwi6
tmpart,Abargelie,121,14,13.6036510820419,16.7268398942277,15,53.8554652248096,25.7287738115431,5.18442443824472,1.06138017967579,0.00432268889330348,tmpart
tmpac,Abargelie,121,14,0.275036574814628,0.679320045008393,15,2.597678950308,0.25179239421035,0,0,0,tmpac
totprec,Abargelie,121,14,0.380160514891809,0.751854434080502,15,2.597678950308,0.48099686039209,0.00109872261385589,0,0,pmmc
lst_day,Abargelie,121,14,42.684774693021,1.56060441935671,15,45.0703929238205,43.7732429056407,42.5704397010158,41.4815716680751,39.8062377162632,lstd
lst_mean,Abargelie,121,14,32.6955656247506,1.0952930898953,15,34.3217482304953,33.3950226078414,32.8773804039632,32.0743780695196,30.2600327742368,lstm
lst_night,Abargelie,121,14,22.7009151989754,0.817137752605088,15,23.5731035695788,23.2406281182339,23.0645498557451,22.1196694777317,20.7191151572113,lstn
ndvi,Abargelie,121,14,0.187618215768805,0.0099679549619748,15,0.215542597994842,0.193525860809684,0.186335770086653,0.180861280333589,0.17610783349192,ndvi
savi,Abargelie,121,14,0.133323461891664,0.00660012042918551,15,0.151935479905503,0.137025669363597,0.131057960617141,0.128274602867727,0.126733444538701,savi
evi,Abargelie,121,14,0.117154478697717,0.0061710492404645,15,0.134485928422235,0.120608942764204,0.114967052495351,0.112436559562156,0.111111006656927,evi
ndwi5,Abargelie,121,14,-0.0901123655412696,0.00511650744618497,15,-0.0843353283739591,-0.0868128638144063,-0.0891019183479572,-0.0915549097612751,-0.104167474846542,ndwi5
ndwi6,Abargelie,121,14,-0.091781328043456,0.00759252433645632,15,-0.0848270771513545,-0.0867641462652145,-0.0892521701532818,-0.0958808639150478,-0.107992567984391,ndwi6
tmpart,Abargelie,121,15,10.7188244491024,10.0857354252501,15,28.0855020899014,17.8784850842858,7.0858353270256,1.13960117652489,0.0669256722229372,tmpart
tmpac,Abargelie,121,15,0.226333795568791,0.539874915671211,15,1.56062218346566,0.00400266549873016,0,0,0,tmpac
totprec,Abargelie,121,15,0.336459735202278,0.648050594838773,15,1.6518890945023,0.253171986490698,0,0,0,pmmc
lst_day,Abargelie,121,15,42.6952106078632,1.83985529258182,15,45.2571766850721,44.2491879946766,42.8648155483959,40.917422296767,39.6416121787122,lstd
lst_mean,Abargelie,121,15,32.6208515662504,1.36019083027636,15,34.5765179369756,33.9990539341123,32.7449991619708,31.4288410590058,30.1866234496589,lstm
lst_night,Abargelie,121,15,22.5481631363786,1.03593394909667,15,24.0842357945147,23.441860199781,22.552899027969,22.0160613686155,20.73163471738,lstn
ndvi,Abargelie,121,15,0.186528382080553,0.0114577180102216,15,0.218243298517021,0.193595949548824,0.182974097910528,0.178145021363319,0.174458375559786,ndvi
savi,Abargelie,121,15,0.133642424422732,0.00797825953581862,15,0.155928622228961,0.138030947061166,0.130774453797207,0.127941005686174,0.126329244961752,savi
evi,Abargelie,121,15,0.117500787563383,0.00751283220391196,15,0.138448357993098,0.121569015981981,0.114729147815675,0.112071914098439,0.110882993999001,evi
ndwi5,Abargelie,121,15,-0.0891339342947841,0.00493082093855188,15,-0.0837633681592458,-0.0856965666993387,-0.0871254617520896,-0.0913601350218643,-0.102115597118792,ndwi5
ndwi6,Abargelie,121,15,-0.0908779635835842,0.00876796762145319,15,-0.08065845600861,-0.0842338980420347,-0.0885786207764783,-0.0934837692511555,-0.108105808894035,ndwi6
tmpart,Abargelie,121,16,7.99542195151428,10.3922957098674,15,37.9502681149539,11.7290428081448,4.69077919323936,1.05607892141085,0.0666354222582007,tmpart
tmpac,Abargelie,121,16,0.21374976959813,0.350991787518981,15,0.967321672924987,0.405598189582755,0.00262941174509525,0,0,tmpac
totprec,Abargelie,121,16,0.237902046469311,0.347877440342917,15,0.967321672924987,0.441314412086878,0.00576501272451392,0,0,pmmc
lst_day,Abargelie,121,16,42.6799051970235,1.63476962557474,15,45.5781848589221,43.9272225748777,43.0533918588705,41.523429181781,40.1910645968289,lstd
lst_mean,Abargelie,121,16,32.7826204368384,1.05007731842348,15,34.8377677590629,33.4298262127665,32.897773380344,31.9255443657821,30.9636285855279,lstm
lst_night,Abargelie,121,16,22.8856687934511,0.765447658095011,15,24.1537413281468,23.4410938459772,22.872151716874,22.3790094947677,21.7361926283693,lstn
ndvi,Abargelie,121,16,0.186493584905836,0.0123194557940861,15,0.216999833840171,0.196466415112619,0.181302466505616,0.177199956800335,0.174484967080714,ndvi
savi,Abargelie,121,16,0.133986144327034,0.00861698348398334,15,0.155828438185494,0.14015453541123,0.131023234330606,0.127593127786842,0.125769997471208,savi
evi,Abargelie,121,16,0.117826283079523,0.00812777665156981,15,0.138496207869581,0.123412641024459,0.114639153482917,0.112040134198528,0.11004617077548,evi
